Time,Raw Angle,Low Frequency Carrier,Tremor,Envelope,Torque,WFE Displacement,centeredTorque
13.601659,8.388945,8.386407071875112,0.0005318337868408753,0.0020105587357424023,0.018022245366847496,-0.001802,137
13.602703,8.388886,8.386452883284317,0.00039910329356662076,0.002010756619206463,0.01718333943200478,-0.001744,137
13.603746,8.388832,8.38649877145591,0.00027164491530429793,0.0020105875478124845,0.01643514107806985,-0.001698,136
13.60479,8.388782,8.386544735314686,0.0001484662827337569,0.002010421992853969,0.015778647659101044,-0.001667,136
13.605833,8.388736,8.386590773786702,0.000029574969648472435,0.002010671410861418,0.015309684922772737,-0.00165,136
13.606877,8.388692,8.386636885799392,-0.00008702150817279396,0.002011774973316429,0.01493442133649264,-0.001651,136
13.60792,8.388651,8.386683070281688,-0.00020031569409599775,0.0020141724593695895,0.014651857776565698,-0.001668,136
13.608964,8.388611,8.386729326164131,-0.0003123001917164648,0.0020182840620279995,0.01465564201471484,-0.001702,136
13.610007,8.388571,8.386775652378985,-0.0004239676659721394,0.0020244908716188425,0.014563464412440077,-0.001752,135
13.611051,8.388533,8.386822047860342,-0.0005333108442400315,0.002033106910360887,0.014373327482802458,-0.001817,135
13.612095,8.388496,8.386868511544243,-0.0006413225174138579,0.002044356523960646,0.01408622764151828,-0.001896,135
13.613138,8.388462,8.386915042368786,-0.0007459955409931798,0.0020583838595244646,0.01341268781106309,-0.001986,135
13.614182,8.388433,8.386961639274233,-0.0008453228361660727,0.002075226142710598,0.012446537304136097,-0.002085,134
13.615225,8.38841,8.387008301203123,-0.0009382973908728358,0.0020948520540806747,0.010995123989095062,-0.002191,134
13.616269,8.388397,8.387055027100372,-0.001020912260894271,0.002117135069142696,0.009054455487634753,-0.002301,133
13.617312,8.388395,8.387101815913383,-0.001092160570901945,0.0021418954205017046,0.006719360164960214,-0.002412,131
13.618356,8.388407,8.387148666592143,-0.0011490355155377313,0.0021689238581848857,0.0038910180094892436,-0.002523,130
13.619399,8.388435,8.387195578089331,-0.0011895303604830129,0.0021979734412364243,0.000567433982675206,-0.002631,128
13.620443,8.388482,8.38724254936042,-0.0012106384435099835,0.0022287774653765324,-0.0029669045721628434,-0.002733,126
13.621487,8.388547,8.387289579363783,-0.0012133531755653475,0.0022610903890268306,-0.006615171853831152,-0.002828,125
13.62253,8.388632,8.387336667060785,-0.0011956680418392092,0.002294621359845457,-0.010475188139708028,-0.002913,123
13.623574,8.388737,8.38738381141589,-0.0011575766028195352,0.0023291072394768363,-0.014163645245435237,-0.002988,121
13.624617,8.38886,8.387431011396753,-0.0011010724953885718,0.0023642531607496217,-0.017678545751624884,-0.00305,119
13.625661,8.389001,8.387478265974314,-0.0010261494338697726,0.002399782375422176,-0.021019887695809064,-0.003099,117
13.626704,8.389158,8.387525574122899,-0.0009348012111308998,0.0024353972425185744,-0.02408984742868215,-0.003133,116
13.627748,8.38933,8.387572934820314,-0.00082802169965348,0.0024707897068541812,-0.02659994608315619,-0.003152,114
13.628791,8.389512,8.387620347047944,-0.0007108048526227648,0.0025056735530084528,-0.028545194727676183,-0.003155,113
13.629835,8.389703,8.38766780979084,-0.0005841447050229383,0.002539773157921896,-0.03021207475192469,-0.003142,112
13.630879,8.389901,8.387715322037804,-0.00045003537473261305,0.0025728177739046797,-0.031119458053824527,-0.003113,112
13.631922,8.3901,8.387762882781491,-0.0003144710636195412,0.002604589585588521,-0.031453013216971894,-0.003067,112
13.632966,8.3903,8.387810491018485,-0.00017744605865786402,0.002634900582745448,-0.031212740812896676,-0.003006,112
13.634009,8.390495,8.38785814574939,-0.00004495473303290046,0.0026636342659737762,-0.030201004402109183,-0.002928,112
13.635053,8.390683,8.387905845978919,0.00008100845273488865,0.002690728950575306,-0.02860746366514218,-0.002835,113
13.636096,8.39086,8.387953590715968,0.00019644894966508726,0.0027161909337756417,-0.026332304235299715,-0.002728,114
13.63714,8.391023,8.388001378973712,0.00029837211917823524,0.002740077852142643,-0.023468362374904593,-0.002606,116
13.638183,8.391169,8.38804920976968,0.0003837832319572304,0.0027625022688173326,-0.020108474449224444,-0.002473,118
13.639227,8.391296,8.388097082125837,0.0004506874668044469,0.002783618558772424,-0.016346474091744667,-0.002328,120
13.640271,8.391402,8.388144995068668,0.0004970899094664482,0.002803592618776739,-0.012276194892854373,-0.002173,122
13.641314,8.391486,8.388192947629255,0.0005219955514840339,0.0028226081267180535,-0.007800814487512896,-0.002011,124
13.642358,8.391545,8.388240938843357,0.0005224092890029832,0.002840840571753744,-0.0030131691961464515,-0.001842,126
13.643401,8.391579,8.388288967751478,0.0004983359215983733,0.002858440005981194,0.0017992600506526579,-0.001669,129
13.644445,8.391588,8.388337033398951,0.0004497801510726842,0.0028755298702905427,0.00692395168751457,-0.001494,132
13.645488,8.391569,8.388385134836001,0.00037374658024881167,0.002892203335879071,0.01226806935587102,-0.00132,134
13.646532,8.391523,8.388433271117826,0.00027123971175707656,0.0029085269196454148,0.017543135093772807,-0.001148,137
